[[1625.0], [2965.0], [67.0], [0.3900000000000001], [0.41000000000000014], [3.0], [3.0], [3.0], [3.0]]
[[941.2440709047985], [1925.444060865207], [68.09439150921024], [0.39002088978293825], [0.409979110217062], [3.0], [3.0], [3.0], [3.0]]
[[1724.4450301511704], [3100.2453508900453], [73.04780661112773], [0.3909684364313253], [0.409031563568675], [3.0], [3.0], [3.0], [3.0]]
[[1061.244392688534], [2085.444487096086], [99.6933102584872], [0.3909212427238731], [0.4090787572761272], [3.0], [3.0], [3.0], [3.0]]
[[1610.6575419087421], [2945.857520390785], [104.56664094388638], [0.39006866741107915], [0.4099313325889211], [3.0], [3.0], [3.0], [3.0]]
[[941.8575657853219], [1926.6575539792611], [67.69662977104748], [0.3900244965726256], [0.40997550342737465], [3.0], [3.0], [3.0], [3.0]]
[[1722.658533518072], [3097.858855417925], [72.61971154655168], [0.3909719367266695], [0.40902806327333074], [3.0], [3.0], [3.0], [3.0]]
[[1061.8579431205385], [2086.658053794871], [99.22502860571234], [0.3909248899629998], [0.4090751100370005], [3.0], [3.0], [3.0], [3.0]]
[[1608.872797830637], [2943.472759985621], [104.06766667340466], [0.390072406933069], [0.4099275930669313], [3.0], [3.0], [3.0], [3.0]]
[[942.4728600791985], [1927.8728463042885], [67.3000239932784], [0.3900284592787613], [0.409971540721239], [3.0], [3.0], [3.0], [3.0]]
[[1720.8738403612529], [3095.4741646207412], [72.19286026233988], [0.39097280578271976], [0.4090271942172805], [3.0], [3.0], [3.0], [3.0]]
[[1062.4732984418465], [2087.8734269598935], [98.757610461553], [0.3909289024392275], [0.40907109756077276], [3.0], [3.0], [3.0], [3.0]]
[[1607.0898924712565], [2941.0898526405736], [103.56982481233709], [0.39007328248657247], [0.4099267175134278], [3.0], [3.0], [3.0], [3.0]]
[[943.0899536512596], [1929.0899376584932], [66.9045662197313], [0.39003261056254646], [0.4099673894374538], [3.0], [3.0], [3.0], [3.0]]
[[1719.090947299536], [3093.091273951462], [71.76725343453316], [0.39097156910323916], [0.4090284308967611], [3.0], [3.0], [3.0], [3.0]]
[[1063.0904559143569], [2089.0906029698663], [98.29126957709386], [0.3909331157527469], [0.40906688424725335], [3.0], [3.0], [3.0], [3.0]]
[[1605.308815641049], [2938.708784390594], [103.07312100399685], [0.39007192318299877], [0.4099280768170015], [3.0], [3.0], [3.0], [3.0]]
[[943.7088463237076], [1930.3088278027453], [66.51025736680717], [0.39003685178447567], [0.4099631482155246], [3.0], [3.0], [3.0], [3.0]]
[[1717.309852456031], [3090.710180886029], [71.34289135860385], [0.3909717980413867], [0.40902820195861356], [3.0], [3.0], [3.0], [3.0]]
[[1063.7094138192178], [2090.309579551522], [97.82611069555352], [0.39093743504647227], [0.409062564953528], [3.0], [3.0], [3.0], [3.0]]
[[1603.5295173336763], [2936.3294867101667], [102.57757421582608], [0.39007197642070013], [0.40992802357930014], [3.0], [3.0], [3.0], [3.0]]
[[944.3295378638845], [1931.529516424132], [66.11710454542845], [0.3900411303826652], [0.4099588696173351], [3.0], [3.0], [3.0], [3.0]]
[[1715.5305550600224], [3088.3308843879713], [70.9197740320073], [0.390971756083347], [0.40902824391665327], [3.0], [3.0], [3.0], [3.0]]
[[1064.3301710931264], [2091.5303552985947], [97.36195852034135], [0.3909418126380584], [0.4090581873619419], [3.0], [3.0], [3.0], [3.0]]
[[1601.7520203125782], [2933.9519907923823], [102.08317715049694], [0.3900717618210092], [0.40992823817899104], [3.0], [3.0], [3.0], [3.0]]
[[944.9520279683642], [1932.752003114563], [65.72510346275538], [0.39004542655413266], [0.4099545734458676], [3.0], [3.0], [3.0], [3.0]]
[[1713.7530551561608], [3085.9533845173282], [70.49790121546421], [0.3909713889491946], [0.4090286110508057], [3.0], [3.0], [3.0], [3.0]]
